dimensions,iterations,trip_Loops,sleep_Duration,current_trip_loops_index,execution_time,network_delay,total_time_spent
70,20,100,0,1,1.580415,.390585,191.184
70,20,100,0,2,1.579078,.344922,191.184
70,20,100,0,3,1.565175,.234825,191.184
70,20,100,0,4,1.576794,.258206,191.184
70,20,100,0,5,1.574436,.242564,191.184
70,20,100,0,6,1.575434,.241566,191.184
70,20,100,0,7,1.575157,.282843,191.184
70,20,100,0,8,1.595623,.260377,191.184
70,20,100,0,9,1.564844,.245156,191.184
70,20,100,0,10,1.571188,.329812,191.184
70,20,100,0,11,1.534902,.261098,191.184
70,20,100,0,12,1.555477,.245523,191.184
70,20,100,0,13,1.557484,.264516,191.184
70,20,100,0,14,1.552419,.295581,191.184
70,20,100,0,15,1.547765,.249235,191.184
70,20,100,0,16,1.546343,.262657,191.184
70,20,100,0,17,1.555233,.285767,191.184
70,20,100,0,18,1.587976,.265024,191.184
70,20,100,0,19,1.559367,.276633,191.184
70,20,100,0,20,1.605801,.261199,191.184
70,20,100,0,21,1.542216,.263784,191.184
70,20,100,0,22,1.547024,.287976,191.184
70,20,100,0,23,1.561485,.251515,191.184
70,20,100,0,24,1.558207,.257793,191.184
70,20,100,0,25,1.650433,.257567,191.184
70,20,100,0,26,1.556166,.300834,191.184
70,20,100,0,27,1.565376,.347624,191.184
70,20,100,0,28,1.583233,.245767,191.184
70,20,100,0,29,1.567081,.335919,191.184
70,20,100,0,30,1.558151,.243849,191.184
70,20,100,0,31,1.563251,.268749,191.184
70,20,100,0,32,1.570355,.243645,191.184
70,20,100,0,33,1.561021,.262979,191.184
70,20,100,0,34,1.552042,.248958,191.184
70,20,100,0,35,1.595924,.252076,191.184
70,20,100,0,36,1.582132,.253868,191.184
70,20,100,0,37,1.572989,.250011,191.184
70,20,100,0,38,1.566372,.258628,191.184
70,20,100,0,39,1.609077,.241923,191.184
70,20,100,0,40,1.585364,.259636,191.184
70,20,100,0,41,1.566769,.257231,191.184
70,20,100,0,42,1.546851,.280149,191.184
70,20,100,0,43,1.568927,.353073,191.184
70,20,100,0,44,1.555050,.250950,191.184
70,20,100,0,45,1.567736,.249264,191.184
70,20,100,0,46,1.556919,.236081,191.184
70,20,100,0,47,1.557602,.266398,191.184
70,20,100,0,48,1.559203,.311797,191.184
70,20,100,0,49,1.536126,.241874,191.184
70,20,100,0,50,1.555042,.284958,191.184
70,20,100,0,51,1.562779,.638221,191.184
70,20,100,0,52,1.556613,.320387,191.184
70,20,100,0,53,1.565922,.563078,191.184
70,20,100,0,54,1.557071,.246929,191.184
70,20,100,0,55,1.562164,.278836,191.184
70,20,100,0,56,1.566882,.350118,191.184
70,20,100,0,57,1.563258,.362742,191.184
70,20,100,0,58,1.563300,.255700,191.184
70,20,100,0,59,1.554543,.260457,191.184
70,20,100,0,60,1.570205,.280795,191.184
70,20,100,0,61,1.546059,.439941,191.184
70,20,100,0,62,1.661944,.485056,191.184
70,20,100,0,63,1.573709,.444291,191.184
70,20,100,0,64,1.584592,.257408,191.184
70,20,100,0,65,1.573565,.348435,191.184
70,20,100,0,66,1.567342,.263658,191.184
70,20,100,0,67,1.557703,1.578297,191.184
70,20,100,0,68,1.593084,.484916,191.184
70,20,100,0,69,1.578067,.248933,191.184
70,20,100,0,70,1.573259,.294741,191.184
70,20,100,0,71,1.583673,.335327,191.184
70,20,100,0,72,1.559621,.256379,191.184
70,20,100,0,73,1.559623,.241377,191.184
70,20,100,0,74,1.554655,.290345,191.184
70,20,100,0,75,1.556742,.265258,191.184
70,20,100,0,76,1.534658,.265342,191.184
70,20,100,0,77,1.559770,.285230,191.184
70,20,100,0,78,1.560167,.254833,191.184
70,20,100,0,79,1.552466,.241534,191.184
70,20,100,0,80,1.554466,.308534,191.184
70,20,100,0,81,1.571978,.347022,191.184
70,20,100,0,82,1.545129,.250871,191.184
70,20,100,0,83,1.532519,.238481,191.184
70,20,100,0,84,1.588667,.247333,191.184
70,20,100,0,85,1.566531,.250469,191.184
70,20,100,0,86,1.560957,.325043,191.184
70,20,100,0,87,1.597255,.326745,191.184
70,20,100,0,88,1.567599,.352401,191.184
70,20,100,0,89,1.569637,.252363,191.184
70,20,100,0,90,1.570952,.348048,191.184
70,20,100,0,91,1.575352,.344648,191.184
70,20,100,0,92,1.570252,.357748,191.184
70,20,100,0,93,1.561463,.239537,191.184
70,20,100,0,94,1.569445,.491555,191.184
70,20,100,0,95,1.574648,.567352,191.184
70,20,100,0,96,1.569664,.622336,191.184
70,20,100,0,97,1.565895,.575105,191.184
70,20,100,0,98,1.559921,.566079,191.184
70,20,100,0,99,1.573555,.347445,191.184
70,20,100,0,100,1.583146,.349854,191.184
