dimensions,iterations,trip_Loops,sleep_Duration,current_trip_loops_index,startTime,endTime,total_time_spent
15,10,10,2,1,1712379216.641,1712379217.976,34.459
15,10,10,2,2,1712379220.009,1712379221.420,34.459
15,10,10,2,3,1712379223.451,1712379224.770,34.459
15,10,10,2,4,1712379226.807,1712379228.162,34.459
15,10,10,2,5,1712379230.202,1712379232.102,34.459
15,10,10,2,6,1712379234.137,1712379236.565,34.459
15,10,10,2,7,1712379238.603,1712379239.963,34.459
15,10,10,2,8,1712379241.993,1712379243.438,34.459
15,10,10,2,9,1712379245.480,1712379247.151,34.459
15,10,10,2,10,1712379249.189,1712379251.062,34.459
